artist_id,track_name,duration_ms,peak_rank,weeks_on_chart
130,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613027,1,19
130,Blank Space,231827,130,20
131,Something Just Like This,247160,2,172
132,Closer,244960,2,179
133,STAY (with Justin Bieber),141806,1,37
134,Mr. Brightside,222973,98,87
135,Daddy Issues,260173,99,76
135,Sweater Weather,240400,29,82
136,Every Breath You Take,253920,109,61
137,I Love You So,160240,21,24
138,Blinding Lights,200040,1,121
138,Call Out My Name,228373,1,42
138,Die For You,260253,41,26
138,Save Your Tears,215627,2,68
138,Take My Breath - Single Version,220196,7,21
138,The Hills,242253,52,50
139,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,191014,5,48
139,Save Your Tears (with Ariana Grande) (Remix),191014,5,39
140,Starboy,230453,1,97
141,The Business,164000,9,64
142,The Motto,164819,23,20
143,Don't Be Shy,140500,38,32
144,Another Love,244360,31,50
145,Dance Monkey,209438,1,140
146,goosebumps,243837,13,226
147,Angel Baby,220780,59,19
148,Riptide,204280,122,64
149,Hope,110886,42,35
149,Jocelyn Flores,119133,7,216
150,Mon Amour - Remix,179940,34,29
